"DATE","TIME","TEMP","RH","WS","PREC","YR","MON","DAY","LAT","LONG","FFMC","DMC","DC","ISI","BUI","FWI","DSR"
1999-10-19,13:00:00,3.88888888888889,46,6.437376,254,1999,10,19,40.25,105.75,34.2559871516376,7.66150699104109,1.404,0.0141269410508802,6.85348404549423,0.00702176806690439,4.19545603391401e-06
1999-10-20,13:00:00,10.5555555555556,24,4.828032,0,1999,10,20,40.25,105.75,64.8883563760204,9.0037048221522,4.008,0.669636297448591,8.34726283639228,0.367242166312584,0.00461886108574514
1999-10-21,13:00:00,11.6666666666667,20,6.437376,0,1999,10,21,40.25,105.75,82.4781840090865,10.5512290888189,6.812,2.09101870716215,9.99277368695592,1.850764588468,0.0808687062069691
1999-10-22,13:00:00,13.8888888888889,13,4.828032,0,1999,10,22,40.25,105.75,90.7890031468267,12.5271003954855,10.016,6.1211387021582,12.0341245019603,7.232355832329,0.902597495309923
1999-10-23,13:00:00,14.4444444444444,11,6.437376,0,1999,10,23,40.25,105.75,93.963824109324,14.6233122532633,13.32,10.3808946023853,14.1725224641372,12.2715046748411,2.30100753275502
1999-10-24,13:00:00,13.8888888888889,12,6.437376,0,1999,10,24,40.25,105.75,94.5141619046915,16.6218947243744,16.524,11.2012476852734,16.1999047826839,13.8757667149268,2.85998513459813
1999-10-25,13:00:00,14.4444444444444,14,6.437376,0,1999,10,25,40.25,105.75,94.565009733439,18.6474477554855,19.828,11.2799666280885,18.2475193300144,14.7603240388387,3.19057260964471
1999-10-26,13:00:00,15,10,6.437376,0,1999,10,26,40.25,105.75,95.2917998956191,20.8429725554855,23.232,12.4618331244188,20.4570606657451,16.8069114863203,4.01497189740022
1999-10-27,13:00:00,13.8888888888889,17,6.437376,0,1999,10,27,40.25,105.75,94.950200011605,22.7279992043744,26.436,11.8929330963006,22.3555097591349,16.9316600268272,4.06787022277452
1999-10-28,13:00:00,12.7777777777778,17,6.437376,0,1999,10,28,40.25,105.75,94.6911721347536,24.4732907421522,29.44,11.4774743616768,24.1110482177902,17.1010855623439,4.14019519960448
1999-10-29,13:00:00,-0.555555555555556,70,3.218688,1270,1999,10,29,40.25,105.75,22.4536129918915,7.14888136976977,0.604,0.000380757695544069,6.27586250875939,0.000181478807249057,6.49666952975112e-09
1999-10-31,13:00:00,11.1111111111111,37,6.437376,0,1999,10,31,40.25,105.75,55.8018126278906,8.31452472976977,3.308,0.414453924505665,7.63393096883302,0.217227246972549,0.00182350606391851
2000-06-01,13:00:00,22.7777777777778,10,8.04672,0,2000,6,1,40.25,105.75,88.5502144495561,13.9721110697698,10.812,5.22316411668028,13.4638157790135,6.63250144925611,0.774350922051646
2000-06-02,13:00:00,18.8888888888889,19,8.04672,0,2000,6,2,40.25,105.75,92.4370325485119,18.2346508757698,17.616,9.09448194279753,17.7968645184956,12.3209646709599,2.31744824948648
2000-06-03,13:00:00,23.8888888888889,9,9.656064,0,2000,6,3,40.25,105.75,96.3409442858479,24.221290463992,25.32,16.8974974413688,23.7977981549387,22.5157288039983,6.73704021962407
2000-06-04,13:00:00,23.8888888888889,15,8.04672,0,2000,6,4,40.25,105.75,96.3923952274295,29.8132065628809,33.024,15.6896670774759,29.3965327913757,23.5782270119027,7.30993693693844
2000-06-05,13:00:00,20,15,4.828032,0,2000,6,5,40.25,105.75,96.18548218415,34.5348822728809,40.028,12.9735116270361,34.1225982280798,22.1362185916158,6.53735370990453
2000-06-06,13:00:00,26.6666666666667,10,6.437376,0,2000,6,6,40.25,105.75,96.903110669423,41.1138996128809,48.232,15.4943112483472,40.6819503743652,27.2801871366625,9.46277916501738
2000-06-07,13:00:00,26.6666666666667,6,8.04672,0,2000,6,7,40.25,105.75,98.0419330238538,47.9853177235476,56.436,19.5483006780572,47.5248474096911,34.3472508722089,14.2264883481146
2000-06-08,13:00:00,22.7777777777778,16,8.04672,0,2000,6,8,40.25,105.75,96.972430967252,53.2657316408809,63.94,16.9597120571193,52.7922166290981,32.8500105324455,13.1473057322291
